Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0245577221612072,3.05311331771918E-15,5.55111512312578E-17,0,0,0,3.93858677066438,0.0120451992803257,-2.09882662845242E-18,1.89450717058375E-18,0.0220950401422928,1.56642703837033E-06,0.0144098354435757,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/base_link.STL,,肩1-1;肩1-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_shoulder1,-4.28648242644242E-05,0.00563895288355709,0.0590002883559256,0,0,0,0.478471991055908,0.000538429029896492,-7.72402995486987E-07,7.90769468619253E-08,0.000513021824528363,-9.92288123103202E-06,0.000515544957290594,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder1.STL,,肩2-2,l_shoulder_1,l_Jshoulder_1,l_Jshoulder1,revolute,0,0.196,0,1.5708,1.5708,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_shoulder2,0.069531551444729,0.000155024274671289,-0.0129636589597232,0,0,0,0.266027713238003,0.000263703580685733,1.5997411536119E-07,1.93738394368443E-06,0.000453078900715468,3.33148445189551E-08,0.000466701173226785,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder2.STL,,左臂肩3-1,l_shoulder_2,l_Jshoulder_2,l_Jshoulder2,revolute,0,0.0425,0.0625,-1.5708,0,0,l_shoulder1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_shoulder3,-0.00242269726604344,-0.00129497917922705,0.135827635699124,0,0,0,0.664940739640707,0.00334636586407012,-6.6410956833853E-06,-1.73748304071315E-05,0.00395863623235683,-1.95503049602617E-05,0.000933071819308939,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_shoulder3.STL,,左臂肩4实际-1,l_shoulder_3,l_Jshoulder_3,l_Jshoulder3,revolute,0.1415,0,-0.0425,0,1.5708,0,l_shoulder2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_elbow1,0.0399999999999076,0.00758743309975929,0.00249516500161862,0,0,0,0.129824829338474,6.11265199774516E-05,-8.03270621825326E-17,-3.22063760830232E-17,0.000199763417800875,8.30295706160526E-09,0.00023307601506724,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_elbow1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_elbow1.STL,,肘1外壳-2;肘1-2,l_elbow_1,l_Jelbow_1,l_Jelbow1,revolute,0,0.010547,0.312,1.5705,-1.5708,0,l_shoulder3,0,-0.00024924,-1,0,0,-1.57,1.57,,,,,,,,
l_elbow2,0.102915223030001,0.00134469650398422,0.00587078679895037,0,0,0,0.369312240286826,0.00069085614188651,2.62753460450778E-05,1.19475963395139E-07,0.000625231947516904,2.13069466290337E-08,0.000689773940799891,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_elbow2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_elbow2.STL,,左臂肘2实际-1,l_elbow_2,l_Jelbow_2,l_Jelbow2,revolute,0.08,0,-5.2916E-05,-0.00024924,0,0,l_elbow1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_wrist1,-0.00130162148086721,-2.45275958499214E-06,0.129799172429874,0,0,0,0.477294050715265,0.00238875692083017,2.95183872073207E-08,4.47727003394783E-05,0.00236149715373802,-7.05844312804006E-10,0.000436071480580569,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist1.STL,,腕1-2,l_wrist_1,l_Jwrist_1,l_Jwrist1,revolute,0.173899999999969,0,0.00760000000000133,-1.5707963267949,0,-1.57079632679474,l_elbow2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_wrist2,-0.000395146500561383,0.0220046354959901,-7.84024680284823E-05,0,0,0,0.0546789660832691,1.59122000429047E-05,5.74374208777215E-08,1.42957799790301E-09,1.94210484468585E-05,4.17441414983889E-08,1.10425059383313E-05,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist2.STL,,腕2-2,l_wrist_2,l_Jwrist_2,l_Jwrist2,revolute,-0.00374999999991976,0,0.336000000000001,0,-1.5707963267949,0,l_wrist1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_wrist3,1.28951922297449E-05,-0.00973023397619038,-0.0263691546954095,0,0,0,0.0182717739131969,1.34586135705447E-05,3.72712931478664E-09,-6.21313937676889E-09,1.30171798697199E-05,8.09449795898802E-07,8.3018867685469E-06,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_wrist3.STL,,腕3-2,l_wrist_3,l_Jwrist_3,l_Jwrist3,revolute,0,0,0,3.14159265358979,-1.5707963267949,0,l_wrist2,0,1,0,0,0,-1.57,1.57,,,,,,,,
l_handbase,0.0509545068203636,0.000404874419297152,0.00163480218032513,0,0,0,0.11584850535342,4.62249547149792E-05,-3.17464680589037E-06,-8.24336269478644E-07,6.5006752559142E-05,-1.41237081098142E-08,0.000107316413101042,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_handbase.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_handbase.STL,,左手URDF-SW-1/左手手掌-1;左手URDF-SW-1/拇指侧展底座-2;左手URDF-SW-1/手指底座-3;左手URDF-SW-1/手指底座-4;左手URDF-SW-1/手指底座-2;左手URDF-SW-1/手指底座-1,l_handbase,l_Jhandbase,l_Jhandbase,fixed,0,-0.00994999999999929,-0.0450000000000004,1.5707963267949,1.5707963267949,0,l_wrist3,0,0,0,,,,,,,,,,,,
