Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.024558,-3.166E-11,1.5378E-12,0,0,0,3.9386,0.012045,-3.6869E-13,1.206E-14,0.022095,1.5664E-06,0.01441,0,0,0,0,0,0,package://gen3_dualarm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/base_link.STL,,肩1-1;肩1-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_shoulder_1,4.2855E-05,-0.0056389,0.051,0,0,0,0.47847,0.00053843,-7.7236E-07,-7.9062E-08,0.00051302,9.9229E-06,0.00051554,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_1.STL,,肩2-1,r_shoulder_1,r_Jshoulder_1,r_shoulder_1,revolute,0,-0.20400000004499,0,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,100,3.14,-1.57,3.14,,,,,,,,
r_shoulder_2,0.069531,0.00015511,-0.012963,0,0,0,0.26603,0.00026369,1.6375E-07,1.936E-06,0.00045307,3.233E-08,0.00046668,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_2.STL,,左臂肩3-2,r_shoulder_2,r_Jshoulder_2,r_shoulder_2,revolute,0,-0.0425,0.0545000000000002,1.5707963267949,0,0,r_shoulder_1,0,0,-1,100,3.14,0,3.14,,,,,,,,
r_shoulder_3,-0.0050918,0.00046365,0.13649,0,0,0,1.1436,0.0039419,5.0719E-06,-1.7124E-05,0.0045561,1.9514E-05,0.0012992,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_shoulder_3.STL,,肩4-2,r_shoulder_3,r_Jshoulder_3,r_shoulder_3,revolute,0.132499999999999,0,-0.0425000000000091,0,1.5707963267949,0,r_shoulder_2,0,0,-1,100,3.14,-3.14,3.14,,,,,,,,
r_elbow_1,0.0420224729230552,-0.0075831837368967,0.00258636049141631,0,0,0,0.12982482933834,6.11265199774803E-05,-5.29128776655553E-17,-3.21579306094597E-17,0.000199763415731444,-1.37914407577772E-17,0.000233076017136682,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_elbow_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_elbow_1.STL,,肘1-1;肘1外壳-1,r_elbow_1,r_Jelbow_1,r_elbow_1,revolute,0,-0.0105,0.31898,1.5708,-1.5708,0,r_shoulder_3,0,0,-1,100,3.14,0,1.57,,,,,,,,
r_elbow_2,0.097292,-0.001061,0.004537,0,0,0,0.4299,0.00074504,-2.6201E-05,-5.0549E-06,0.00066248,3.7934E-08,0.00072993,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_elbow_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_elbow_2.STL,,肘2-1,r_elbow_2,r_Jelbow_2,r_elbow_2,revolute,0.084045,0,0,0,0,0,r_elbow_1,0,0,-1,100,3.14,0,1.57,,,,,,,,
r_wrist_1,-0.0013025,-2.5234E-06,0.1298,0,0,0,0.47729,0.0023888,2.8862E-08,4.4776E-05,0.0023615,7.2134E-09,0.00043609,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_1.STL,,腕1-1,r_wrist_1,r_Jwrist_1,r_wrist_1,revolute,0.17188,0,0.0075,1.5708,0,1.5708,r_elbow_2,0,0,-1,100,3.14,-3.14,3.14,,,,,,,,
r_wrist_2,-0.00039515,-0.022005,7.8402E-05,0,0,0,0.054679,1.5912E-05,-5.7437E-08,-1.4296E-09,1.9421E-05,4.1744E-08,1.1043E-05,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_2.STL,,腕2-1,r_wrist_2,r_Jwrist_2,r_wrist_2,revolute,-0.00375,0,0.336,0,-1.5708,0,r_wrist_1,0,0,-1,100,3.14,-3.14,3.14,,,,,,,,
r_wrist_3,-1.2896E-05,0.0097302,-0.026369,0,0,0,0.018272,1.3459E-05,3.7271E-09,6.213E-09,1.3017E-05,-8.0945E-07,8.3019E-06,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/r_wrist_3.STL,,腕3-1,r_wrist_3,r_Jwrist_3,r_wrist_3,revolute,0,0,0,-0.47166,-1.5708,0.47935,r_wrist_2,0,-1,0,100,3.14,-1.57,1.57,,,,,,,,
l_shoulder_1,-4.2874E-05,0.0056389,0.059,0,0,0,0.47847,0.00053843,-7.7286E-07,7.8639E-08,0.00051302,-9.9222E-06,0.00051554,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_1.STL,,肩2-2,l_shoulder_1,l_Jshoulder_1,l_shoulder_1,revolute,0,0.196,0,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,100,3.14,-1.57,3.14,,,,,,,,
l_shoulder_2,0.069531,0.00015503,-0.012964,0,0,0,0.26603,0.00026369,1.6375E-07,1.936E-06,0.00045307,3.233E-08,0.00046668,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_2.STL,,左臂肩3-1,l_shoulder_2,l_Jshoulder_2,l_shoulder_2,revolute,0,0.0425000000000001,0.0624999999999999,-1.5707963267949,0,0,l_shoulder_1,0,0,-1,100,3.14,0,3.14,,,,,,,,
l_shoulder_3,-0.00242276830114968,-0.00129487540323331,0.135827550581168,0,0,0,0.664939627051105,0.00334635968895786,-6.64013385623331E-06,-1.73698846163894E-05,0.00395862729135094,-1.95489972747832E-05,0.000933068857657904,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_shoulder_3.STL,,左臂肩4实际-1,l_shoulder_3,l_Jshoulder_3,l_shoulder_3,revolute,0.1415,0,-0.0425,1.9908,1.5708,1.8601,l_shoulder_2,0,0,-1,100,3.14,-3.14,3.14,,,,,,,,
l_elbow_1,0.04,0.0075874,0.0024952,0,0,0,0.12982,6.1127E-05,-8.0435E-17,-3.1791E-17,0.00019976,8.303E-09,0.00023308,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_elbow_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_elbow_1.STL,,肘1-2;肘1外壳-2,l_elbow_1,l_Jelbow_1,l_elbow_1,revolute,0,0.010547,0.312,1.5705,-1.5708,0,l_shoulder_3,0,-0.00024924,-1,100,3.14,0,1.57,,,,,,,,
l_elbow_2,0.10292,0.0013447,0.0058708,0,0,0,0.36931,0.00069086,2.6275E-05,1.1947E-07,0.00062523,2.1371E-08,0.00068977,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_elbow_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_elbow_2.STL,,左臂肘2实际-1,l_elbow_2,l_Jelbow_2,l_elbow_2,revolute,0.08,0,-5.2916E-05,-0.00024924,0,0,l_elbow_1,0,0,-1,100,3.14,0,1.57,,,,,,,,
l_wrist_1,-0.0013025,-2.5234E-06,0.1298,0,0,0,0.47729,0.0023888,2.8862E-08,4.4776E-05,0.0023615,7.2137E-09,0.00043609,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_1.STL,,腕1-2,l_wrist_1,l_Jwrist_1,l_wrist_1,revolute,0.1739,0,0.0076,-1.5708,0,-1.5708,l_elbow_2,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
l_wrist_2,-0.00039515,0.022005,-7.8402E-05,0,0,0,0.054679,1.5912E-05,5.7437E-08,1.4296E-09,1.9421E-05,4.1744E-08,1.1043E-05,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_2.STL,,腕2-2,l_wrist_2,l_Jwrist_2,l_wrist_2,revolute,-0.00375,0,0.336,0,-1.5708,0,l_wrist_1,0,0,1,100,3.14,-3.14,3.14,,,,,,,,
l_wrist_3,1.28948427380315E-05,-0.00973023397474665,-0.0263691545319065,0,0,0,0.0182717739064095,1.34586135167202E-05,3.72715510031812E-09,-6.21326384276441E-09,1.30171798252092E-05,8.09449795480727E-07,8.30188677633774E-06,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gen3_dualarm/meshes/l_wrist_3.STL,,腕3-2,l_wrist_3,l_Jwrist_3,l_wrist_3,revolute,0,0,0,-3.1023,-1.5708,3.1021,l_wrist_2,0,1,0,100,3.14,-1.57,1.57,,,,,,,,
